Netrophil mediated imunity genes	Cytokine mediated signaling pathway genes
VAT1	ZNF675
TXNDC5	ZEB1
TUBB4B	XAF1
TOM1	TRIM5
TOLLIP	TRIM34
TMEM30A	TRIM31
TMC6	TRIM21
TCIRG1	TNFSF8
SYNGR1	TNFSF15
SVIP	TNFSF14
STXBP2	TNFSF13B
STK11IP	TNFRSF9
SLPI	TEC
SLC27A2	STAT4
SERPINB6	STAT2
S100P	ST18
S100A9	SOCS2
RAB4B	RSAD2
RAB24	RNASEL
QSOX1	PSMB9
PYGB	PML
PYCARD	OPRM1
PTPRN2	OPRD1
PTPN6	OASL
PTGES2	OAS3
PSMC3	OAS2
PSMB1	OAS1
PSMA2	NR4A3
PRKCD	NANOG
PPIE	MX2
PKP1	MX1
PGRMC1	MTAP
PGM1	MSN
PFKL	MAP2K6
PDXK	LRRK2
PDAP1	LMNB1
ORMDL3	LEPR
NME2	LCP1
NIT2	JAK3
NDUFC2	ITGAX
NBEAL2	ITGAM
NAPRT	ISG20
MVP	ISG15
MLEC	IRF8
MIF	IRF7
METTL7A	IRF4
MAN2B1	IRAK3
LTF	IRAK2
LRG1	INPP5D
LAMTOR1	IL7R
LAMP1	IL2RG
JUNB	IL2RB
JUN	IL21R
IMPDH2	IL20RB
IMPDH1	IL1RN
HSPA1B	IL1RAP
HSPA1A	IL1B
HMOX2	IL18RAP
GUSB	IL18BP
GSTP1	IL15RA
GSDMD	IL12RB1
GALNS	IL10RA
GAA	IFITM3
FUCA1	IFITM2
FOS	IFITM1
ENPP4	IFIT3
EEF2	IFIT2
DPP7	IFIT1
DNASE1L1	IFI6
DNAJC5	IFI35
DGAT1	IFI30
DDOST	GBP2
DBNL	GBP1
CYBA	FYN
CXCL8	FLRT2
CTSH	FCGR1B
CTSD	FCGR1A
CST3	FASLG
COMMD3	F13A1
CKAP4	DUOX2
CEP290	CXCR2
CD59	CXCR1
CD14	CXCL9
CAT	CXCL6
CANT1	CXCL13
ATP8B4	CXCL11
ATP6V0C	CXCL10
APRT	CSF2RB
APEH	CSF2RA
AP2A2	CSF1R
ANPEP	CSF1
AMPD3	CNTF
ALDOC	CIITA
ALDH3B1	CEACAM1
AGPAT2	CD86
AGA	CD80
ACTR1B	CD40LG
ACAA1	CD4
ABCA13	CD36
	CD300LF
	CCR5
	CCR1
	CCL5
	CCL4
	CCL3
	CCL22
	CCL2
	CASP1
	BTK
	BST2
	BIRC3
	BCL2
	AIM2
	ADAR
